title,text
allen4thron,@YeleSowore @MBuhari @EndSars @mbujari We're amugbo
DOyaleh,"@YeleSowore @MBuhari @EndSars @mbujari Continuity of terrorism, lack and massive display of ineffective governance."
Prince74143920,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Again: BIG FOOL
Sarki_official1,"@MoyinoluwaVict4 @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari What's ma? 
Is he your mother?  😂"
Sarki_official1,"@juxcnote @bunmifasae @mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You are pained by the 2019 election, breathe if you agree 😂"
Sarki_official1,@mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You are pained by the 2019 election breath if you agree 😂
OkaforChineduK3,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari What about brothers?
Surltz_Da_6_4,@YeleSowore @MBuhari @EndSars @mbujari What can we do?
EWokemezie,@YeleSowore @MBuhari @EndSars @mbujari Nigeria won't be handed over to you with this type of rascality. You may need to try other means!
nweketheophilu3,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari That's why you are a fool!
MoyinoluwaVict4,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You will later pity that man bcus it's in Bible don't destroy your brother but he did not listen he has chosen his own way of destroying others with lies and fake write ups
StPee12,"@YeleSowore @MBuhari @EndSars @mbujari @SoworeOmoyele I don't know how you will be able to face the judgement of God that will soon come upon you. So you knew Buhari is a terrorist, and you used your Platform to deceive Nigerians to vote for him? Buhari's terrorist activities will soon catch up with you. Nonsense."
beylag,@YeleSowore @MBuhari @EndSars @mbujari I now know you will soon choke on your hatered of Buhari. You have totally lost your senses. You're like a hungry lion between a herd of buffaloes fighting for his life. We all know what the outcome will be. The End!
_BigDaddy01,"@horlayemmy @YeleSowore @MBuhari @EndSars @mbujari thank you crude olodo, buruku! God have mercy on you."
lee_zamba,@Abubakar_myusuf @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari No one will insult you if you are not displaying any symptom of stupidity or ignorance on a social media platform...”for every action there is always an equal and opposite reaction”
_BigDaddy01,@Prince74143920 @YeleSowore @MBuhari @EndSars @mbujari and this filthy pig? what exactly are you blabing?
_BigDaddy01,"@NPMsmoothie @YeleSowore @MBuhari @EndSars @mbujari who are you to judge people either bad or good, I hope you were good."
_BigDaddy01,"@MoyinoluwaVict4 @YeleSowore @MBuhari @EndSars @mbujari that is if you are the one presiding over people's souls, ...taught."
_BigDaddy01,"@WaleJimoh10 @YeleSowore @MBuhari @EndSars @mbujari you look like a gentleman now, alias, agbero!!! sorry"
Obiejazzyup,@adekzee1 @YeleSowore @MBuhari @EndSars @mbujari #ESN and #IPOB are not terrorists.they are protecting the south east from the terrorist created by @MBuhari to wipe other region out and islamize the country
CRITICSNEWS1,"@YeleSowore @bamanalist @MBuhari @EndSars @mbujari But you are still supporting One failed useless Nigeria, #SayNoTo1Nigeria #EndNigeriaNow #DivideNigeria #BiafraExit #Stop"
Kar97622898,"@YeleSowore @ayemojubar @MBuhari @EndSars @mbujari To those southern one Nigerianists have u ever sat down and think about the people u doing one Nigeria wit.the Northern Nomadic Fulani People that only contribute terrorism, economy disaster,massive looting,nomadic and backwardness to the one Nigeria
@YeleSowore 
@MaziNnamdiKanu https://t.co/lxhqaOQFzH"
charlespaul731,@YeleSowore @ayemojubar @MBuhari @EndSars @mbujari We must never exclude @GovWike from that crime against humanity in Obigbo. Shameful Wike the #littlehitler is a murderer.
Djeee12345,@YeleSowore @MBuhari @EndSars @mbujari Northerners are the problem of this country.
tcojike,"@JessicaOgwatar @MBuhari @EndSars @mbujari Ever since he took over, terrorism spreads like wildfire in Nigeria"
tcojike,@JessicaOgwatar @MBuhari @EndSars @mbujari Boko Haram Patron
falusteelgmail1,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Which you are number one among them
lee_zamba,@ayfbeloved @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Am also waiting for his response on this ☝️
adekzee1,@Obiejazzyup @YeleSowore @MBuhari @EndSars @mbujari Is Buhari the sponsor of ESN and IPOB terrorizing the SE region too?
JessicaOgwatar,Buhari is a terrorist: @mbuhari ordered the massacre of  1k Shiites in one night; he ordered the massacre of  #IPOB members at a peaceful gathering in a secondary schl; he  ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate @mbujari ordered killings at Obigbo
Nnabugo11,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Very soon you will also be flushed out. Aboki janjaweed
german_afro,"@couture_fh @YeleSowore @MBuhari @EndSars @mbujari I believe we need to focus on ""End badgovernance"" by ensuring only the right persons are elected onwards. When this is successfully done, a referendum for Biafra and Odua exit would be possible without bloodshed."
ayfbeloved,"@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Hope you know your government is giving them amnesty and robbing hands with them? This government needs to be flush out ryt? Pls say something about pantami, bandits and Fulani herdsmen"
gaizka,"@YeleSowore @MBuhari @EndSars @mbujari Please note how the reported has been ""encouraged"" to say ""well deserved rest"". In reality, Buhari was ousted by diaspora Nigerians."
dfreedom_s,@monami911 @TonyMatt14 @YeleSowore @EndSars OMG! You just said it all!
ehiejr,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You have made your dim tweet. Now go and collect your N500
yemight63652,@YeleSowore @MBuhari @EndSars @mbujari Continuity to your hardship Regime abi.  God is watching you
yemight63652,@adurojadgreat @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Don't blame him he is a cow
yemight63652,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Boko haram is not a terrorist aboki mumu boi
9jaVolunteers,"@YeleSowore @MBuhari @EndSars @mbujari Man all your claims are baseless 🤨. We all know Shiites are naturally terrorists, IPOB have evil intents to destroy the country while no one died at the Lekki toll gate...hide your face man you a thief !"
koyejob72,"@YeleSowore @MBuhari @EndSars @mbujari Avram Sowore grant, wehdon sa"
Abubakar_myusuf,@lee_zamba @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari One thing in common about you southerners is insult....
ObadimuOlushola,@YeleSowore @MBuhari @EndSars @mbujari It's time we rise up in unity and strong protest to say no to this barbaric governance.
WaleJimoh10,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Fulani Herdsmen?
riverjosh3814,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari FOOLS.... Dementia is ur problem
ashiru_easy,@MoyinoluwaVict4 @TtifeB @YeleSowore @MBuhari @EndSars @mbujari Please you people should pay that lady her grant
ashiru_easy,@MoyinoluwaVict4 @TtifeB @YeleSowore @MBuhari @EndSars @mbujari I know you chop something among the grand
MoyinoluwaVict4,@TtifeB @YeleSowore @MBuhari @EndSars @mbujari Sowore is not Buhari mate when it comes humanity and tolerance ...but it's just a pity that you're hiding your picture on this app bcus you're a coward ...if e sure for you upload your picture make we see who dey call sowore sowogrant ...I know they're paying you for doing this
MoyinoluwaVict4,@EweteOluwasegun @YeleSowore @MBuhari @EndSars @mbujari Bring forth your proofs and evidence ....na so you said sowore was working for APC back then now it's Grant ...and still yet your family name no popular reach sowore name in this world
MoyinoluwaVict4,"@EmekaEdeh @YeleSowore @MBuhari @EndSars @mbujari What's your warnings? And while Jonathan was in office was Nigeria getting better among it pals?
PDP is bad
APC is worst 
Stop defending any of them"
MoyinoluwaVict4,@KabiruGbadebo @YeleSowore @MBuhari @EndSars @mbujari Even if at all sowore work for APC in 2015 as you've said oh as that one now denied him of criticizing what's bad and wrong?
MoyinoluwaVict4,"@KabiruGbadebo @YeleSowore @MBuhari @EndSars @mbujari That your take is the hardship you're zipping right now bcus you've no brain and wisdom to know what's right from what's bad...kindly bring out where sowore campaigned or advertise Buhari to Nigerians 
Oloriburuku lopoju ninu yin"
WaleJimoh10,"@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Daddy Pig . . . 2019 result has not benefitted Nigerians. They have a right to complain,"
MoyinoluwaVict4,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Can you see how useless this ma is? Sowore was talking about lives you're talking about election reports..it shall not be well with your soul as from this morning
OsagieUyi3,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Why can't they flush the real terrorist bolo haram? Yeye people
OweiboStephen,@YeleSowore @MBuhari @EndSars @mbujari Strong terrorist
audu_alamin,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari All the above and the grant thief sowore. What do you call someone who collect money from opposition and foreigners to course crisis in your country while your wife and children are in America? So sowore is a big Terrorist.
2Nwajiugo,@YeleSowore @UzonnaErnest @MBuhari @EndSars @mbujari new style of wearing a face mask
lee_zamba,@Abubakar_myusuf @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari One thing is common about you notherners...you support yourself even if do a wrong thing 👌
6tem2,"@YeleSowore @MBuhari @EndSars @mbujari He will not end well, many people in obigbo I witnessed it, chai is well"
Shafiusani17,@YeleSowore @MBuhari @EndSars @mbujari Sowore..... you will never success in your life Nigeria will success  useless sowore
seke4christ,@TonyMatt14 @YeleSowore @EndSars I love the way you talk in irony
Abubakar_myusuf,@Nejovi2 @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari For saying the truth ..???😂😂😂
seke4christ,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari What about Boko Haram.
AhiabaAkoji,@YeleSowore @MBuhari @EndSars @mbujari 😔 😔 😔
GodspowerTrust,@YeleSowore @MBuhari @EndSars @mbujari @save_video
Nejovi2,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari You seems to be man without brain.
EmekaEdeh,"@YeleSowore @MBuhari @EndSars @mbujari You rooted for Buhari in 2015 despite our warnings,the man chequered is never in doubt. Buhari  truncated our democracy in 1983,he believes so much in tribe and religion till date"
esther_ashaolu,@YeleSowore @MBuhari @EndSars @mbujari Haaaaa! Baba Buhari!  They said you should go and resign!  Continuity koo konkobility ni🤣
Okehjames,"@YeleSowore @MBuhari @EndSars @mbujari Most of you that still thinks Sowore brought this papa to power, try what he his trying for just one day."
dufflemoric,@YeleSowore @MBuhari @EndSars @mbujari Continuity kill you there
netufo_t,"@YeleSowore @MBuhari @EndSars @mbujari #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2…The innocent boys that were detained and brutally injured should be release, as soon as possible.
#FreeKogi2"
AdamsSuleiman19,@YeleSowore @MBuhari @EndSars @mbujari Grant Commander of Nigeria has spoken
MikeOsasTega,@YeleSowore @MBuhari @EndSars @mbujari He has been a Failure in every aspect of is Goverment &amp; without Remorse
MrMNI2,@YeleSowore @MBuhari @EndSars @mbujari They are coming for you idiot
Oluwafe62754093,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari If nah your papa bon you show your real face on your profile omoale apofungbemu ayirada  suffering and smiling onijere with that your stupid comment (oni fake account)
OnepgI,"@YeleSowore @MBuhari @EndSars @mbujari The manufactures of the N95 mask worn by this imposter of a presidency never designed it to be worn BELOW THE EARS. This thing is fake. Who in the world wears N95s like this if not by the ""PRESIDENCY"""
solaren40359301,@vinxxehi @Janet_Aderinpe @YeleSowore @MBuhari @EndSars @mbujari Naija is finished
solaren40359301,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari U no well
solaren40359301,"@TonyMatt14 @YeleSowore @EndSars Buhari is a great calamity.
None of his generation shall know peace"
solaren40359301,@YeleSowore @MBuhari @EndSars @mbujari Buhari is the worst thing to happen to Nigeria
alphozechi,@YeleSowore @MBuhari @EndSars @mbujari Blood thirsty old man.
Ileshababa,@YeleSowore @MBuhari @EndSars @mbujari But falana need to tell this boy that he will not end we'll if he continues like this.
Pido461,@YeleSowore @MBuhari @EndSars @mbujari This man has lost his memory and his is not him self again
dare_ogungbesan,@YeleSowore @MBuhari @EndSars @mbujari I  only heard continity😂😂😂😂🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️
horlayemmy,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You're a collateral mumu.
babakabir2010,@YeleSowore @MBuhari @EndSars @mbujari 😂😂😂😂😂😂😂😂😂😂😂
obekpom,"@Thedarkhorse123 @YeleSowore @MBuhari @EndSars @mbujari @DrIsaPantami @HMKemiAdeosun Asking as if u don't know, those DSS guys don't do no screening, they are just there to take orders."
PriscanonyTunde,@YeleSowore @MBuhari @EndSars @mbujari Delusional
Fulani50433720,@YeleSowore @MBuhari @EndSars @mbujari Omoyele walahee pooor
ALIOGA8,@YeleSowore @MBuhari @EndSars @mbujari God will pay everyone according to his/her deed
Musa610master,Buhari is a terrorist: @mbuhari ordered the massacre of  1k Shiites in one night; he ordered the massacre of  #IPOB members at a peaceful gathering in a secondary schl; he  ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate @mbujari ordered killings at Obigbo
adurojadgreat,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Why is it then that your government have not flushed them out the same way he killed endsars youths? You must either be born stupid or have inverted brain.
jayome_jackson,@YeleSowore @MBuhari @EndSars @mbujari Would you try this under Babangida or Abacha or Obj regimes and go scot free? @mbuhari is a true Democrat.
blexxman,@YeleSowore @MBuhari @EndSars @mbujari https://t.co/DPNtI2sSXU
Prince74143920,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Big fool
KabiruGbadebo,"@YeleSowore @MBuhari @EndSars @mbujari Does that mean you failed to do your research very well before you were jumped up and down before 2015 election, bro don't bother to rationalize anything, you're part of the problems, my takes."
UtomOgbonnia,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Including @MBuhari
AyoProsper9,@YeleSowore @MBuhari @EndSars @mbujari #BuhariMustGo
msabubakaree,@YeleSowore @MBuhari @EndSars @mbujari Lie
IpobAwka,"@YeleSowore @MBuhari @EndSars @mbujari It seems like you have woken up, that's good, the only solution is to support the Biafra oduduwa and others and you will see that part of the world as heaven on earth.thanks"
Kenneth46894109,"@YeleSowore @MBuhari @EndSars @mbujari The "" continuity "" off me. Coded word... after flying for hours. Just to say continuity. We are finished."
uchenna_aroh,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Just the way they will flush you out.
Kelvin55447646,@YeleSowore @MBuhari @EndSars @mbujari Biafra or we all die there
Ayole52519041,@YeleSowore @Amaka_Ekwo @MBuhari @EndSars @mbujari #Buhari is dead gullible nigeria can't you guys reason for once. Please stop all this propaganda of buhari buhari
godson_achimba,@YeleSowore @MBuhari @EndSars @mbujari Why is his nose masks tied to his neck? The more you see the less you understand
Yusuftj21,"@YeleSowore @MBuhari @EndSars @mbujari You never rule this country, you are one of the terrorist terrorising this country."
TomNwagbo,@YeleSowore @MBuhari @EndSars @mbujari Sowore any grant anywhere?
TimBrownian,@YeleSowore @MBuhari @EndSars @mbujari Nigga said continuity.....we don enter am #EndSARS
allen4thron,"@YeleSowore @MBuhari @EndSars @mbujari Oloriburuku oba opuro. Ole, ole abatenije oloorun."
babangidarimi1,@skaalbgroup @Alexbite1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari My guy has deleted the tweet and Japa.
PromiseEbuka7,@YeleSowore @MBuhari @EndSars @mbujari Divide Nigeria
happy420pothead,@lee_zamba @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Baba don talk am ... Continuity!!!
happy420pothead,@YeleSowore @MBuhari @EndSars @mbujari Aiye me oooo.... Continuity bawo... 😭😭😭
collins55337526,@KabiruMisali @YeleSowore @MBuhari @EndSars @mbujari Only if u know that u are the one that needs it more @KabiruMisali 🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️
muyiwadot1,@YeleSowore @MBuhari @EndSars @mbujari Please they need to test this president reasoning capacity to determine whether he can continue
muyiwadot1,@uche_anike @YeleSowore @MBuhari @EndSars @mbujari Thank you for your response
amos_adediran,@YeleSowore @RevolutionNowNg @MBuhari @EndSars @mbujari What a mess
julietezenwonwu,@YeleSowore @MBuhari @EndSars @mbujari Continuity kee u dia
CanYeMess,@basolino1 @YeleSowore @BajTunji @MBuhari @EndSars @mbujari Wow!!!
SKekeghe,"@YeleSowore @MBuhari @EndSars @mbujari Continuity of what? We are seeking reordering and mending of a plundered nation, Baba is enforcing a continuity of the troubles and sciopolitical upheavals. That one word is disturbing! PMB, na beg we dey beg you: we don't want continuity of terrorism, kidnapping and poverty."
ToluIdowu2376,@EweteOluwasegun @YeleSowore @MBuhari @EndSars @mbujari Really???...
Ayorinde_Lloyd,"@stevobj @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari I agree,infact a big one"
_BigDaddy01,@juxcnote @stevobj @YeleSowore @MBuhari @EndSars @mbujari uncircumcised son of jezbel.
willyg007,@YeleSowore @MBuhari @EndSars @mbujari Mogbe🙆‍♂️
ahmed_asiwaju,@YeleSowore @MBuhari @EndSars @mbujari @YeleSowore  when talking of real kidnapper today you're the one. You kept a lady under same roof taking her GRANTS day and night. the money for 2019 you embezzled it. You constantly take GRANTs for every arrest all in the name of revolution now infact you are a GRANT MASTER.
BenChuk51558678,@YeleSowore @MBuhari @EndSars @mbujari Nigerian government is truly terrorist. It is working hard to turn all NIgerians terrorist. And all cassala go burst.
gee_spaco,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Oga thunder scrap your left armpit hairs. So you're in support of the lekki massacre abi.
BajTunji,@YeleSowore @MBuhari @EndSars @mbujari Buhari is the Terrorist-in-chief. Know this now
OduntanDaniel1,"#EndSARS Says For The Record, I Quote @YeleSowore:@MBuhari is a Terrorist: @MBuhari ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate.
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo https://t.co/KBqevLcNG4 https://t.co/5pG767CfVn"
monami911,"@TonyMatt14 @YeleSowore @EndSars Sorry but if Nigeria still exist as a country one of his family member will still be,they will be obedient morons to defend him. As a military head buhari was one of the worst and yet nigerians glorified him as a civilian,this is what we got."
abbeylincx,@YeleSowore @MBuhari @EndSars @mbujari Sey e no dey tire you ni😂
OduntanDaniel1,"#EndSARS Says For The Record, I Quote @YeleSowore:@MBuhari is a Terrorist: @MBuhari ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate.
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo https://t.co/KBqevLcNG4"
OduntanDaniel1,"#EndSARS Says For The Record, I Quote @YeleSowore:@MBuhari is a Terrorist: @MBuhari ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate.
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo"
AlabiWahab1,@YeleSowore @MBuhari @EndSars @mbujari Those mention above are enemies of this nation and any sensible government will surely flush them out. only lekki lies an exception
muhammadtajude7,@YeleSowore @Opeyemi_Tunde1 @MBuhari @EndSars @mbujari Mr Avran GRANT
juxcnote,@stevobj @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Make I help quote the “FOOL”
juxcnote,@bunmifasae @mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Dumbledore
ismailmusakari7,@YeleSowore @MBuhari @EndSars @mbujari Yahoo boys everywhere you go
couture_fh,"@YeleSowore @MBuhari @EndSars @mbujari #EndNigeriaNowToSaveLives 
#EndNigeriaNow 
#EndBadGovernanceinNIGERIA 
Follow me I follow back
Follow me I follow back  @couture_fh https://t.co/oGGWciuAJp"
princeolaolatu1,"@YeleSowore @MBuhari @EndSars @mbujari Are u done ???? Eleribu, oponu , ole"
DanielMaechi,@YeleSowore @MBuhari @EndSars @mbujari Nigerians should expect continuity of #terrirism and #Cow Government. #EndSArs
PeterNweke17,@YeleSowore @MBuhari @EndSars @mbujari NIGERIA evil people https://t.co/a6OauGvOUf
Obiejazzyup,@YeleSowore @MBuhari @EndSars @mbujari @MBuhari is the main sponsor of terrorist
Sadeeq777,@YeleSowore @MBuhari @EndSars @mbujari Continuety?
Dannyrockie,@YeleSowore @MBuhari @EndSars @mbujari What's the meaning of continuity? 🙄🤔
emmanuel_baaki,@YeleSowore @MBuhari @EndSars @mbujari Confirm
lee_zamba,@skaalbgroup @Alexbite1 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari You are very stupid for this statement....even the Nigerian government never denied given boko haram amnesty in 2018.
Ibikunleapogee,@YeleSowore @MBuhari @EndSars @mbujari Palliative thief at it again!!! Grant master
Bishopeyes1,@YeleSowore @MBuhari @EndSars @mbujari It’s high time u shot ur mouth about PMB if u can’t support Yoruba Nation
chalikeCharles,@YeleSowore @MBuhari @EndSars @mbujari Buhari is a terrorist
Ibikunleapogee,@YeleSowore @MBuhari @EndSars @mbujari Has @YeleSowore given @callmerahila her grant? #domestic terrorist dedeee. Your sponsors will soon be revealed
odus45603555,"@YeleSowore @MBuhari @EndSars @mbujari He will not go free 
Where is abacha today ?"
AriwiseOg,@YeleSowore @MBuhari @EndSars @mbujari We move 😂😂😂😂😂
Great_Bobb,@YeleSowore @A3Adewunmi @MBuhari @EndSars @mbujari Truth be told
omobola43179296,"@YeleSowore @MBuhari @EndSars @mbujari Abeg is this a president, oh sorry I forgot we don’t have one @OduduwaR"
9Ninja2020,"@skaalbgroup @Alexbite1 @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari So the ones that were televised wete Photoshopped? 
I am also waiting for your response on the names of does given amnesty in Niger-delta during Jonathan's administration

You are reasons the government call the youths lazy"
aoluwabunmi,@YeleSowore @MBuhari @EndSars @mbujari Haal God!!
OkoawohBright,@YeleSowore @MBuhari @EndSars @mbujari Mask wearer talking nonsense
uche_anike,"@YeleSowore @MBuhari @EndSars @mbujari The President said his holidays in the UK went well. Was it holidays or medical tourism? On his administration he promised continuity. Is it continuity of current  insecurity, terrorism, banditry and criminality?"
IdrisJa20854041,@babangidarimi1 @skaalbgroup @Alexbite1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari m also waiting
MaggieAbdul,@YeleSowore @MBuhari @EndSars @mbujari @ObyDikeagu @obyezeks @ayemojubar @NOIweala @lindaikeji @GenevieveNnaji1 @HenshawKate @funshographix @Real_AmakaIke @EricaNlewedim @KenRoth @KenErics @firstladyship  @AmakaAnku @OlumideAkpata @troubleralpho @TheTrentOnline @McGingerIbeneme @mikepompeo Information Alert!☝️
bunmifasae,@mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari 2019 election still Dey pain and..Oya insult me too..
bunmifasae,@Alexbite1 @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Who started operation safe corridor bros?
AliyuAAliyu00,@YeleSowore @MBuhari @EndSars @mbujari Those that he ordered the massacre to them are all terrorist they deserved more than that.
Ozeel_official,"@YeleSowore @MBuhari @EndSars @mbujari Biafra freedom new song 🎵 listen 🎶 now ❤❤❤⭐⭐⭐😇😇😇🌅🌅🌅💥💥💥https://t.co/Uf6JFKbM5T

Subscribe like comment and share"
HarunaNAbdullah,"@YeleSowore @MBuhari @EndSars @mbujari #1952Days
Since the inhuman #ZariaGenocide by wicked mass murderer tyrant @MBuhari: @IntlCrimCourt @elrufai

548 men murdered
297 women murdered
193 children murdered
23 pregnant women murdered
39 Shia families wiped out 4rm existence

#FreeZakzaky 
#BuhariObeyCourtOrder https://t.co/KmgcAzByON"
Mansban,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari 😂😂😂i swear
laweeat,@YeleSowore @MBuhari @EndSars @mbujari Werey
I_A_Asipita,"@YeleSowore @MBuhari @EndSars @mbujari What will we expect of someone that tagged @DrIsaPantami terrorist without evidence and defend ipob, etc..
@YeleSowore you for like defend bk boys now"
sfreelyf,"@YeleSowore @MBuhari @EndSars @mbujari For every arrest, there is a grant"
OlojaYinka,@diraes_Ak @YeleSowore @MBuhari @EndSars @mbujari B4 nko...?
Chuks79158200,Buhari is a terrorist: @mbuhari ordered the massacre of ; he ordered the massacre of  #IPOB members at a peaceful gathering in a secondary schl; he  ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate @mbujari ordered killings at Obigbo https://t.co/sAkZDS9d4F
truthoofficial,"@YeleSowore @MBuhari @EndSars @mbujari @HQNigerianArmy who is sabotaging the efforts of our Military against Terrorist?Is it Nigeria’s Minister of communications (Isa Pantami)A terrorist supporter
many soldiers have paid the supreme price because someone in Buhari’s government is communicating with terrorists #Endsars"
perfectgiftjm1,@YeleSowore @MBuhari @EndSars @mbujari Continuity of incompetent
ndprince84,@YeleSowore @MBuhari @EndSars @mbujari Buhari is a killer
babangidarimi1,@skaalbgroup @Alexbite1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Pls let me know when he reply.
